Input,BioGro #,Licensee,Type,Category,Sub Type
Colorstab SG,5593.0,Pacific Rim Oenology Services Ltd,Clarification / Fining,,
Combo XT,5593.0,Pacific Rim Oenology Services Ltd,Yeast,,
Comcat Fruit,5153.0,Agraforum NZ Ltd,Crop Management,,
Comcat Plus,5153.0,Agraforum NZ Ltd,Crop Management,,
Comcat Row,5153.0,Agraforum NZ Ltd,Crop Management,,
Comcat Seedling,5153.0,Agraforum NZ Ltd,Crop Management,,
Comcat Super,5153.0,Agraforum NZ Ltd,Crop Management,,
Comcat Veg,5153.0,Agraforum NZ Ltd,Crop Management,,
Comocladia 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Compost,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Compost,
Compost,4575.0,Composting New Zealand Ltd,Soil & Plant Nutrition,Compost,
Compost,5068.0,Weathersfield Certified Organics,Soil & Plant Nutrition,Compost,
Compost,4776.0,BioRich Ltd,Soil & Plant Nutrition,Compost,
Compost,3589.0,Daltons Ltd,Soil & Plant Nutrition,Compost,
Compost,4776.0,BioRich Ltd,Soil & Plant Nutrition,Compost,
Compost Accelerator 200c,5005.0,Homeopathic Farm Services Ltd,Crop Management,Pest control,
Compost Tea / BioFeed Organic Plant Food,416.0,Biofeed Ltd,Soil & Plant Nutrition,,
Composted Chicken Manure,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Compost,
Composted Chicken Manure,5136.0,Remediation NZ Ltd TA Revital Fertilisers,Soil & Plant Nutrition,Compost,
Composted Chicken Manure,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Compost,
Compressed Rock Salt,4385.0,Rogers Distribution TA Mrs Rogers Herbs & Spices,Livestock Feed / Supplement,Supplement,
Concept C20,4885.0,IXOM Operations Pty Ltd,Facility Management,Cleaning,
Conium 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Connectis,2594.0,De Sangosse New Zealand Ltd,Soil & Plant Nutrition,Microorganisms,
Contego AZO,5279.0,Biological Solutions Ltd,Soil & Plant Nutrition,Microorganisms,
Contego B Sub,5279.0,Biological Solutions Ltd,Crop Management,Pesticide,
Contego BB,5279.0,Biological Solutions Ltd,Crop Management,Pesticide,
Contego BD,5279.0,Biological Solutions Ltd,Soil & Plant Nutrition,Microorganisms,
Contego DE,5279.0,Biological Solutions Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Contego NPK,5279.0,Biological Solutions Ltd,Soil & Plant Nutrition,Microorganisms,
Contego PC,5279.0,Biological Solutions Ltd,Soil & Plant Nutrition,Microorganisms,
Contego PE,5279.0,Biological Solutions Ltd,Facility Management,Cleaning,Other
Contego ST,5279.0,Biological Solutions Ltd,Crop Management,Pesticide,
Contego TR,5279.0,Biological Solutions Ltd,Soil & Plant Nutrition,Microorganisms,
Contego Turf powder/liquid,5279.0,Biological Solutions Ltd,Crop Management,Pesticide,
Contego VAM,5279.0,Biological Solutions Ltd,Soil & Plant Nutrition,Microorganisms,
Contract manufacture & processing of BioGro certified Input products,5634.0,DGL Manufacturing Limited,Other,,
"Contract spraying, fertiliser spreading and mowing of BioGro certified input products on certified organic orchards",6186.0,Ranfurly Orchard Services Ltd,Other - Service,,
Copper Sulphate,4841.0,Osflo Fertiliser Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Copper Sulphate,5139.0,Agrifert (NZ) Limited,Soil & Plant Nutrition,Mineral Fertiliser,
Copper Sulphate,5115.0,Mainland Minerals Southern Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Copper Sulphate,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Copper Sulphate,5029.0,Flynn Holdings Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Copper sulphate,4969.0,Fernhill Limeworks Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Copper Sulphate,6213.0,Agvance Nutrition Ltd,Livestock Feed / Supplement,,
Copper Sulphate,6213.0,Agvance Nutrition Ltd,Soil & Plant Nutrition,,
Copper Sulphate,5936.0,Zenith Ltd,Soil & Plant Nutrition,,
Copper Sulphate,4993.0,Livestock Supplies NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Copper Sulphate,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Copper Sulphate,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Copper Sulphate,6213.0,Agvance Nutrition Ltd,Soil & Plant Nutrition,,
Copper Sulphate,6213.0,Agvance Nutrition Ltd,Livestock Feed / Supplement,,
Copper Sulphate,5113.0,Soil Health Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Copper Sulphate,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Copper Sulphate,5622.0,Total Fert Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Copper Sulphate,5480.0,Parker Lime Co Ltd,Livestock Feed / Supplement,,
Copper Sulphate,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Copper Sulphate,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Copper Sulphate,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Copper Sulphate,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Copper Sulphate,5480.0,Parker Lime Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Copper Sulphate,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Copper Sulphate,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Copper Sulphate Pentahydrate,4038.0,BioAg Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Copper Sulphate Pentahydrate,4038.0,BioAg Ltd,Livestock Feed / Supplement,Supplement,Mineral
Corn Salad Vit (Code - 3192),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
"Coryne 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Cosamil 80WG,5640.0,Sumil Chemical Industries Pvt. Ltd,Crop Management,Pesticide,
Cosavet DF,5436.0,Sulphur Mills Ltd,Crop Management,Fungicide,
Cosavet DF,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Fungicide,
Country Mile Dusting / Ravensdown 75,5529.0,QMAG Pty Ltd,Livestock Feed / Supplement,,
Country Mile Magplus,5529.0,QMAG Pty Ltd,Livestock Feed / Supplement,,
CPT nosode 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Cream of Tartar,4472.0,Farmlands Co-Operative Society Ltd,Stabilisation,,
Cream of Tartar,2933.0,PGG Wrightson (Fruitfed Supplies),Stabilisation,Cold Stabilisation,Potassium bitartrate / cream of tartar
Cream of Tartar,5606.0,Interchem Agencies Ltd,Stabilisation,,
Cress Moss Curled (Code - 4114 Component),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Crimson Clover (Code - 4015 Component),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Cristaline,5629.0,Esvin Wine Resources Ltd,Preservative / Antioxidant,,
"Crop husbandry, harvesting, transport on BioGro certified and conversion properties",4617.0,Oropi Management Services Ltd,Other - Service,,
"Crop Husbandry, harvesting, transport on BioGro certified and conversion properties.",6066.0,Edwards Heeney Consulting,Other,,
"Crop husbandry, Orchard Management, harvesting on BioGro certified and conversion properties",777.0,KMS 2015 Ltd,Other,,
Crop4Life,6294.0,The Bio Consulting Pty Ltd,Crop Management,Elicitor,
Cropbiolife,5351.0,Environmental Services PTY Ltd,Soil & Plant Nutrition,Microorganisms,
Cross Evolution,5596.0,Lallemand Australia Pty Ltd,Inoculant,,
"Crotalus horr 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Croton tiglium 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Cryptospirosis 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Crystalyx Organyx Extra,5759.0,Carrs Supplements (NZ) Ltd,Livestock Feed / Supplement,Supplement,Mineral
Cucumber Marketmore (Code - 3210),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Cucumber Paris Pickles (Code – 3214),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Cucumber Tendergreen (Code - 3215),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
"Cuprum met 6x, 30c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Curare 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Customised mixes made of BioGro certified products,5146.0,Functional Fertiliser Ltd,Other,,
Customised mixes made of BioGro certified products,5006.0,Rorisons RMD Ltd,Other,,
Customised mixes made of BioGro certified products,5113.0,Soil Health Ltd,Other,,
Customised mixes made of BioGro certified products,4472.0,Farmlands Co-Operative Society Ltd,Other - Service,,
Customised mixes made of BioGro certified products,5115.0,Mainland Minerals Southern Ltd,Other,,
Customised mixes made of BioGro certified Revital Fertiliser's Soil and Plant Nutritional products,5136.0,Remediation NZ Ltd TA Revital Fertilisers,Other,,
Customised mixes made of BioGro certified Soil and Plant Nutritional products,5029.0,Flynn Holdings Ltd,Other,,
Customised mixes made of BioGro certified Soil and Plant Nutritional products,5029.0,Flynn Holdings Ltd,Other,,
Customised mixes made of BioGro certified Soil and Plant Nutritional products,297.0,Ballance Agri-Nutrients Ltd,Other - Service,,
Customised mixes made of BioGro certified Soil and Plant Nutritional products,6045.0,Avoca Lime Co,Soil & Plant Nutrition,,
Customised mixes made of BioGro certified Soil and Plant Nutritional products,6080.0,Soil Conditioner Products Ltd,Other - Service,,
Customised mixes made of BioGro certified Soil and Plant Nutritional products,4969.0,Fernhill Limeworks Ltd,Other,,
Customised mixes made of BioGro certified Soil and Plant Nutritional products,4974.0,Kiwi Fertiliser Co Ltd,Other,,
Customised mixes made of BioGro certified Soil and Plant Nutritional products,4841.0,Osflo Fertiliser Ltd,Other,,
Customised mixes made of BioGro certified Soil and Plant Nutritional products,4862.0,Fertilizer NZ Ltd,Other,,
Customised mixes made of BioGro certified Soil and Plant Nutritional products.,5082.0,Fertco 2016 Ltd,Other,,
Customised mixes of Biogro certified soil & plant nutritional products,5758.0,Hatuma Lime Company Ltd,Other - Service,,
Cyd-X®,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Insecticide,
Cyd-X®,4579.0,Hilado Pty Ltd,Crop Management,Insecticide,
Daikon Radish (Code - 4010),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Dairy Care/Equine Care - Aloe Vera Tonic,4829.0,Dairy Care NZ Ltd,Livestock Treatment,Herbal remedies,
Dairy Care/Equine Care - Cow & Calf Formula,4829.0,Dairy Care NZ Ltd,Livestock Treatment,Herbal remedies,
Dairy Care/Equine Care - Skin Tonic Gel,4829.0,Dairy Care NZ Ltd,Livestock Treatment,Herbal remedies,
Dairy Care/Equine Care - Skin Tonic Spray,4829.0,Dairy Care NZ Ltd,Livestock Treatment,Herbal remedies,
Daltons Organic Potting Mix,3589.0,Daltons Ltd,Soil & Plant Nutrition,Soil/Potting Mix,
Daltons Organic Seed Mix,3589.0,Daltons Ltd,Soil & Plant Nutrition,Soil/Potting Mix,Seed Raising Mix
Daltons Organic Vegetable Mix,3589.0,Daltons Ltd,Soil & Plant Nutrition,Soil/Potting Mix,
DAPR Rock Phosphate,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
DAPR Rock Phosphate,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
DAPR Rock Phosphate,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Dave's Organic Humate,5638.0,Southern Humates,Soil & Plant Nutrition,Humate,
Dave's Organic Liquid Compost,5638.0,Southern Humates,Soil & Plant Nutrition,Humate,
D-C Tron (Organic) Spray Oil,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Fungicide,
D-C Tron Plus (Organic) Spray Oil,4581.0,Ampol Australia Petroleum Pty Ltd,Crop Management,Fungicide,
DCM Organic,6213.0,Agvance Nutrition Ltd,Livestock Feed / Supplement,,
DCM Organic,6213.0,Agvance Nutrition Ltd,Livestock Feed / Supplement,,
DEBug Diatomaceous Earth,5504.0,Biogrow (2021) Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
DEBug Diatomaceous Earth,5504.0,Biogrow (2021) Ltd,Crop Management,Insecticide,
DEBug Diatomaceous Earth,5504.0,Biogrow (2021) Ltd,Livestock Feed / Supplement,Supplement,Mineral
DEEM,5504.0,Biogrow (2021) Ltd,Crop Management,Pesticide,
Defence NRG,6352.0,Multikraft NZ Ltd,Soil & Plant Nutrition,Microorganisms,Biostimulant
Degaclean 150,5170.0,Evonik Peroxide Ltd,Facility Management,Cleaning,Other
DEHealth Diatomaceous Earth,5504.0,Biogrow (2021) Ltd,Livestock Feed / Supplement,Supplement,Mineral
Delfin®,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Pesticide,
Delfin®,4579.0,Hilado Pty Ltd,Crop Management,Pesticide,
"DENZ Diatomaceous Earth (SKU# 1013144, 1013142, 1013141, 1013143, 1013145)",4472.0,Farmlands Co-Operative Society Ltd,Livestock Feed / Supplement,Supplement,
Desire CM,4429.0,UPL New Zealand Ltd,Crop Management,Pesticide,
Desire CM,4432.0,Horticentre Ltd,Crop Management,Pesticide,
Desire CM (SKU# 1002695),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Insecticide,
Desire CM 10X conc,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Insecticide,
Desire CM 10X Conc.,4429.0,UPL New Zealand Ltd,Crop Management,Pesticide,
Desire CM 10X Conc.,4432.0,Horticentre Ltd,Crop Management,Pesticide,
Desire CM 10X Conc. (SKU# 1007746),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Insecticide,
Desire CM 1x std,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Insecticide,
Desire COB – Ctenopseustis obliquana – green label,4432.0,Horticentre Ltd,Crop Management,Pesticide,
Desire COB – Ctenopseustis obliquana – green label,4429.0,UPL New Zealand Ltd,Crop Management,Pesticide,
Desire COB – Ctenopseustis obliquana – green label,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Insecticide,
Desire Currant Clearwing,4432.0,Horticentre Ltd,Crop Management,Pesticide,
Desire Currant Clearwing,4429.0,UPL New Zealand Ltd,Crop Management,Pesticide,
Desire Currant Clearwing,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Pesticide,
Desire LBAM,4429.0,UPL New Zealand Ltd,Crop Management,Pesticide,
Desire LBAM,4432.0,Horticentre Ltd,Crop Management,Pesticide,
Desire LBAM (Light Brown Apple Moth) blue label,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Insecticide,
Desire LBAM (SKU# 1003774),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Insecticide,
Desire LBAM 10X Conc.,4429.0,UPL New Zealand Ltd,Crop Management,Pesticide,
Desire LBAM 10X Conc.,4432.0,Horticentre Ltd,Crop Management,Pesticide,
Desire LBAM 10X Conc.,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Insecticide,
Desire LBAM 10X Conc. (SKU# 1019306),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Insecticide,
Desire Mealybug Pheromone,4429.0,UPL New Zealand Ltd,Crop Management,Pesticide,
Desire OCTO – Planotortrix octo – green label,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Insecticide,
Desire OCTO – Planotortrix octo – orange label,4429.0,UPL New Zealand Ltd,Crop Management,Pesticide,
Desire OCTO – Planotortrix octo – orange label,4432.0,Horticentre Ltd,Crop Management,Pesticide,
Desire OFM,4432.0,Horticentre Ltd,Crop Management,Pesticide,
Desire OFM,4429.0,UPL New Zealand Ltd,Crop Management,Pesticide,
Desire OFM 10X conc,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Insecticide,
Desire OFM 10X conc,4432.0,Horticentre Ltd,Crop Management,Pesticide,
Desire OFM 10X Conc.,4429.0,UPL New Zealand Ltd,Crop Management,Pesticide,
Desire OFM 1mg,4429.0,UPL New Zealand Ltd,Crop Management,Pesticide,
Desire OFM 1mg,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Pesticide,
Desire OFM 1x std,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Insecticide,
Diatomaceous Earth,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Digest-it® DFD,4038.0,BioAg Ltd,Crop Management,Biostimulant,
Digest-it® DFD,4038.0,BioAg Ltd,Facility Management,,
Dill (Code - 3220),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Dipel DF,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Pesticide,
Dipel DF,4027.0,Nufarm NZ Ltd,Crop Management,Pesticide,
Dipel DF,4432.0,Horticentre Ltd,Crop Management,Pesticide,
Dipel DF,5578.0,Sumitomo Chemical Australia PTY Ltd,Crop Management,Pesticide,
Dipel DF (SKU# 1007863),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Pesticide,
Direct application phosphate rock,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Dish Clean,6156.0,Clean Planet Franchise Ltd,Facility Management,Cleaning,
Dolomite,5622.0,Total Fert Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Dolomite,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Dolomite,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Dolomite,5113.0,Soil Health Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Dolomite,5146.0,Functional Fertiliser Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Dolomite,5936.0,Zenith Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Dolomite (Golden Bay),4432.0,Horticentre Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Dolomite Lime,4969.0,Fernhill Limeworks Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Dolomite Powder,5480.0,Parker Lime Co Ltd,Livestock Feed / Supplement,,
Dolomite Powder,5480.0,Parker Lime Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
DoloZest,5146.0,Functional Fertiliser Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Drosera 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Dulcamara C 30,433.0,Sustain-Ability TA EcoGrape Ltd,Crop Management,Homeopathic Preparation,
Dunite,5115.0,Mainland Minerals Southern Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Dunite,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Dunite,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Duogom Max,5629.0,Esvin Wine Resources Ltd,Clarification / Fining,,
Durasul,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Dusting Sulphur,4885.0,IXOM Operations Pty Ltd,Soil & Plant Nutrition,,
Dusting Sulphur,4885.0,IXOM Operations Pty Ltd,Crop Management,Fungicide,
Du-Wett Organic,4429.0,UPL New Zealand Ltd,Crop Management,Adjuvant,
DX50,5099.0,Golden Bay Dolomite,Facility Management,Cleaning,Other
Dynamic Compost Tea,4833.0,Dynamic Compost Tea Ltd,Soil & Plant Nutrition,Compost Tea,
Dynastart,5587.0,Laffort New Zealand Ltd,Yeast Nutrient,,
Dynomyco,3844.0,"Roots, Shoots and Fruits Ltd",Soil & Plant Nutrition,Microorganisms,Biostimulant
Dynomyco,3844.0,"Roots, Shoots and Fruits Ltd",Soil & Plant Nutrition,Microorganisms,Biostimulant
Dzolv,4885.0,IXOM Operations Pty Ltd,Facility Management,Cleaning,
E 15,2753.0,BdMax Ltd,Soil & Plant Nutrition,Homeopathic Preparation,
E coli 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Eagle / Flowerbird,5774.0,Liquid Fertiliser Pty,Soil & Plant Nutrition,Microorganisms,Biostimulant
"Echinacea 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Echinacea ang 200c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Eckosil Shield,4547.0,Grosafe Chemicals Ltd,Crop Management,Plant Protectant,
Eco 8,4885.0,IXOM Operations Pty Ltd,Facility Management,Cleaning,
Eco Litter,5506.0,Nature's Flame,Farm Management,Animal Husbandry,Animal Bedding
EcoCarb,4432.0,Horticentre Ltd,Crop Management,Fungicide,
EcoCarb,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Fungicide,
EcoCarb,6047.0,Organic Crop Protectants,Crop Management,Fungicide,
Eco-Compost Tea,233.0,Eco-Logic Concepts Ltd,Soil & Plant Nutrition,Compost Tea,
Eco-Humic Acid,233.0,Eco-Logic Concepts Ltd,Soil & Plant Nutrition,Humate,
Eco-Logic Vermicast,233.0,Eco-Logic Concepts Ltd,Soil & Plant Nutrition,Vermicast,
Eco-Oil,6047.0,Organic Crop Protectants,Crop Management,Pesticide,
Eco-Oil HIPPO,4432.0,Horticentre Ltd,Crop Management,Pesticide,
Eco-Seaweed Extract,233.0,Eco-Logic Concepts Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
ECOSPREAD,4547.0,Grosafe Chemicals Ltd,Crop Management,Adjuvant,
"Ecospread (SKU# 1043882, 1043886)",4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Adjuvant,
Ecosystem Germinate,4862.0,Fertilizer NZ Ltd,Crop Management,Pesticide,
Ecosystem Germinate,4862.0,Fertilizer NZ Ltd,Crop Management,Pesticide,
Ecosystem Terminate,4862.0,Fertilizer NZ Ltd,Crop Management,Pesticide,
Ecosystem Terminate,4862.0,Fertilizer NZ Ltd,Crop Management,Pesticide,
Efferbaktol,5629.0,Esvin Wine Resources Ltd,Preservative / Antioxidant,,
Eggplant Black Beauty (Code - 3230),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Eggplant Long Purple (Code - 3235),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Eggplant Ping Tung Long (Code - 3240),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Elemental Sulfur,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Elemental Sulphur,5115.0,Mainland Minerals Southern Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Elemental Sulphur,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Elemental Sulphur,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Elemental Sulphur Prills,4841.0,Osflo Fertiliser Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Elemental Sulphur Prills,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Elemental Sulphur Prills,5136.0,Remediation NZ Ltd TA Revital Fertilisers,Soil & Plant Nutrition,Mineral Fertiliser,
Elemental Sulphur Prills,5139.0,Agrifert (NZ) Limited,Soil & Plant Nutrition,Mineral Fertiliser,
Elemental Sulphur Prills,5622.0,Total Fert Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Elemental sulphur prills,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Elite Glass Cleaner,5576.0,AWS Group,Facility Management,Cleaning,Other
EM Animal,2924.0,Naturefarm Ltd TA EMNZ,Livestock Treatment,Metabolics,
EM Environment,2924.0,Naturefarm Ltd TA EMNZ,Crop Management,Biostimulant,
EM Environment,2924.0,Naturefarm Ltd TA EMNZ,Facility Management,,
EM Fert Enhance / Pasture Pro Granular,2924.0,Naturefarm Ltd TA EMNZ,Crop Management,Biostimulant,
EM Fulvic,2924.0,Naturefarm Ltd TA EMNZ,Crop Management,Biostimulant,
EM Garden Boost,2924.0,Naturefarm Ltd TA EMNZ,Soil & Plant Nutrition,Microorganisms,Other
EM Septic Fresh,2924.0,Naturefarm Ltd TA EMNZ,Facility Management,,
EM Soil & Crop,2924.0,Naturefarm Ltd TA EMNZ,Crop Management,Biostimulant,
EM1 Concentrate,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Microorganisms,Other
EM1 Concentrate,2924.0,Naturefarm Ltd TA EMNZ,Facility Management,Cleaning,Other
EM1 Concentrate,2924.0,Naturefarm Ltd TA EMNZ,Crop Management,Biostimulant,
EM1 Garden,2924.0,Naturefarm Ltd TA EMNZ,Crop Management,Biostimulant,
EMAG45 / Nutrimag Fine,5529.0,QMAG Pty Ltd,Livestock Feed / Supplement,,
EMAG500 / Nutrimag 500,5529.0,QMAG Pty Ltd,Livestock Feed / Supplement,,
EMAG523 / Nutrimag 523,5529.0,QMAG Pty Ltd,Livestock Feed / Supplement,,
EMAG75 / Nutrimag 75,5529.0,QMAG Pty Ltd,Livestock Feed / Supplement,,
Enartis EZ Ferm 44,5682.0,Enartis Pacific Pty Ltd,Inoculant,Yeast,
Enartis Ferm Bio,5682.0,Enartis Pacific Pty Ltd,Inoculant,Yeast,
Enartis Ferm ES488,5682.0,Enartis Pacific Pty Ltd,Inoculant,Yeast,
Enartis Ferm Red Fruit,5682.0,Enartis Pacific Pty Ltd,Inoculant,Yeast,
Enartis Ferm WS,5682.0,Enartis Pacific Pty Ltd,Inoculant,Yeast,
Enartis Green Gelatina (Gelatine),5682.0,Enartis Pacific Pty Ltd,Clarification / Fining,Plant,Gelatine
Enartis Green Gomma Verek (Gum Arabic),5682.0,Enartis Pacific Pty Ltd,Clarification / Fining,Plant,Gum arabic (Acacia gum)
Enartis Tan Blanc,5682.0,Enartis Pacific Pty Ltd,Stabilisation,Tannin / Colour Stabilization,Tannins / tannic acid
Enartis Tan Rouge,5682.0,Enartis Pacific Pty Ltd,Stabilisation,Tannin / Colour Stabilization,Tannins / tannic acid
Enartis Zym RS,5682.0,Enartis Pacific Pty Ltd,Enzyme,Extraction Aids,Pectolytic enzymes
Endive Pancalieri Fine Cut (Code - 3245),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Energy mix (Code - 4015),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Enocristal Superattivo,5682.0,Enartis Pacific Pty Ltd,Stabilisation,,
Enoferm Alpha MBR,5596.0,Lallemand Australia Pty Ltd,Inoculant,,
Enoferm AMH,5596.0,Lallemand Australia Pty Ltd,Inoculant,,
Enoferm CSM YSEO,5596.0,Lallemand Australia Pty Ltd,Inoculant,,
Enoferm M1,5596.0,Lallemand Australia Pty Ltd,Inoculant,,
Enoferm M2,5596.0,Lallemand Australia Pty Ltd,Inoculant,,
Enoferm RP15,5596.0,Lallemand Australia Pty Ltd,Inoculant,,
Enoferm Syrah YSEO,5596.0,Lallemand Australia Pty Ltd,Inoculant,,
EnSpray 99,4432.0,Horticentre Ltd,Crop Management,Fungicide,
EnSpray 99,4547.0,Grosafe Chemicals Ltd,Crop Management,Fungicide,
"Enterococcus 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
